Locality,References,log fO2 (dFMQ),log fO2 (dFMQ)_1std,Analysis,Method,Remarks 1,U-Pb Age,Ti-in-zirc Temp C,P,Ti,Fe,Sr,Sc,Y,Nb,Hf,Ta,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-39,ArF LA-ICPMS,,1935,765.3000325,280,9.2,,0.25,,1530,3.94,13200,1.6,,310,217,0.233,46.4,0.25,2.53,5.6,1.18,26.7,10.1,125,47.7,236,52.5,451,96
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-40,ArF LA-ICPMS,,1896.9,676.4833566,140,3.4,,0.54,,2020,3.75,13800,2.01,,588,472,0.03,59.2,0.159,2.5,6.5,1.33,39.7,12.4,164,65.8,339,73.5,681,140.5
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-41,ArF LA-ICPMS,,1876.7,757.6356288,470,8.5,,0.79,,3870,7,11560,2.83,,1009,506,0.058,80,0.68,9.3,16.5,3.04,74,26.8,330,126,620,120,1110,223
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-42,ArF LA-ICPMS,,1908.4,799.3626823,230,12.9,,0.89,,2150,5.39,12900,2.28,,500,334,0.52,68.4,0.62,6.5,9.9,1.75,40.7,14.2,176,67.5,352,71.2,659,128
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-43,ArF LA-ICPMS,,1883.1,642.244897,83,2.2,,,,153,1.77,10700,1.49,,38.8,324,0.095,7.8,0.133,1.25,0.13,0.018,0.67,0.29,5.7,5.21,44.1,14.5,174,50.2
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-46,ArF LA-ICPMS,,1879.9,751.8402715,300,8,,0.49,,3140,5.5,10220,1.73,,676,348,0.0258,70.5,0.611,8,14.2,3.9,76,23.6,285,104.8,491,97.1,903,184
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-47,ArF LA-ICPMS,,1884.1,723.6914142,262,5.9,,0.24,,1042,5.36,11610,2.57,,269,254,0.103,51.4,0.214,2.75,3.72,0.91,16,6.36,86.8,32.1,173,39.9,362,77.1
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-48,ArF LA-ICPMS,,1884.3,753.0224767,397,8.1,,0.55,,1910,4.87,11280,1.99,,459,293,0.264,62,0.552,6.74,9.2,1.76,31.4,10.94,142,57.6,292,58.2,536,109
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-49,ArF LA-ICPMS,,1878.6,760.9809332,508,8.8,,0.17,,1960,10.1,11000,3.02,,567,349,0.33,76.7,0.4,5.1,7.3,1.58,34.4,11.9,160,60.1,304,66.2,605,126
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-50,ArF LA-ICPMS,,1867.8,719.0215112,181,5.6,,0.3,,791,3.61,12900,1.64,,169,179,0.057,35.5,0.043,0.86,1.62,0.45,11.4,4.33,67.6,25.1,131.8,32,293,63.6
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-51,ArF LA-ICPMS,,1868.2,719.0215112,360,5.6,,0.57,,2380,5.48,11480,2.02,,631,343,0.047,56.1,0.419,6.2,11.9,1.81,46.3,16.4,210,80.2,388,82.1,740,149
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-52,ArF LA-ICPMS,,1889.2,732.4756571,180,6.5,,0.27,,845,4.75,12090,2.14,,236,290,0.109,31.9,0.159,1.24,2.19,0.54,13.8,3.78,61.5,24,131,30.4,303,70.9
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-53,ArF LA-ICPMS,,1882.9,756.4991821,340,8.4,,0.26,,1380,7.5,11450,2.18,,262,241,0.015,46.4,0.119,1.43,4.3,0.77,20.4,8.4,109,44.9,237,51.8,501,111.6
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-55,ArF LA-ICPMS,,1872.8,741.9219647,320,7.2,,0.36,,2350,4.3,13200,2.36,,502,297,0.019,61,0.225,5.9,7.6,2.08,51.6,15.3,213,80.1,378,72.7,671,133
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-56,ArF LA-ICPMS,,1878.1,763.1599799,400,9,,0.27,,3800,6.8,10400,2.69,,913,430,0.054,80.6,0.687,10.25,16.5,3.73,88.2,27.3,335,127,619,128,1080,225
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-33-57,ArF LA-ICPMS,,1893.6,777.4016884,2310,10.4,,0.16,,1282,7.7,11020,2.82,,347,319,0.4,49.5,0.306,3.3,3.3,0.83,19,6.98,91,39.6,203,43.3,436,98
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51_1,ArF LA-ICPMS,,1903.3,676.4833566,250,3.4,,0.63,,1030,2.46,10020,0.68,,193,198,0.32,32.4,0.228,1.89,5.5,1.37,23.4,6.28,83,31.5,164,33,334,72.5
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51_3,ArF LA-ICPMS,,1883.2,735.2562296,190,6.7,,0.49,,823,5.3,10600,1.53,,280,307,0.064,42.7,0.061,1.59,3,0.67,13.2,4.57,61.8,24.6,146,34.1,340,71.3
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51_6,ArF LA-ICPMS,,1886.9,717.4192496,300,5.5,,0.14,,1740,4.9,9910,1.83,,430,392,0.06,51.3,0.343,5.7,7.7,1.96,32.1,10.5,138,52,270,62.9,582,131
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51_8,ArF LA-ICPMS,,1889.3,852.5952868,330,21,,0.63,,1020,3.66,10400,0.84,,232,196,0.044,31.9,0.15,3.16,4.9,1.19,18.2,7.1,79.9,31.7,172,38,345,67.9
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51_10,ArF LA-ICPMS,,1887.4,714.1416246,470,5.3,,0.21,,896,2.62,10220,0.67,,194,181,0.052,28.9,0.122,2.8,4.7,1.1,15.9,5.65,64.2,25.2,136,28.2,290,60.5
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51_19,ArF LA-ICPMS,,1903.3,703.6582511,170,4.7,,0.25,,1230,7.2,10360,2.26,,335,356,0.338,60.5,0.352,3,5.4,2.12,20.2,5.9,93,36.3,207,47.8,469,106.3
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51_21,ArF LA-ICPMS,,1897,746.9875858,140,7.6,,0.93,,1700,6.6,8460,1.87,,582,413,0.301,98,0.549,7.1,9.2,3.6,42.2,11.9,144,49.2,261,51.2,521,95.7
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51_22,ArF LA-ICPMS,,1880.7,705.47918,450,4.8,,0.17,,1290,5.4,11000,2.08,,318,322,0.0092,51.4,0.149,2.85,3.9,1.08,22.4,7.8,105,40.5,220,49.3,467,93.1
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51O-2,ArF LA-ICPMS,,1896.1,701.8051427,290,4.6,,,,933,5.4,11200,2.12,,250,281,0.229,48.5,0.103,0.93,1.99,0.64,12.1,4.79,67.2,28.7,157,39,385,88.2
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51O-3,ArF LA-ICPMS,,1934,800.9662674,430,13.1,,0.29,,695,2.07,9800,0.52,,111,92,0.026,22.5,0.105,1.15,3.1,0.79,17.2,5.26,61.9,24,113,23.5,231,45.3
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51O-5,ArF LA-ICPMS,,1944,807.9473395,470,14,,1.68,,600,1.52,8100,0.35,,68.6,66.9,0.63,13.1,0.27,2.3,3.8,0.97,13,4.1,50,18.2,88,19.2,203,46
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-51O-9,ArF LA-ICPMS,,1889,729.6241928,330,6.3,,0.33,,1880,3.48,9790,0.68,,302,202,0.073,40.7,0.58,8.3,12.9,4.61,61,16.4,174,63.7,301,60.1,516,110
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-61O-3,ArF LA-ICPMS,,1913.2,809.4494221,620,14.2,,0.18,,1450,3.79,9500,1.68,,283,286,0.027,33.9,0.21,2.59,6.7,1.4,34.5,10.9,127,46.7,217,45.3,424,88
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-61O-4,ArF LA-ICPMS,,1943.3,781.183887,320,10.8,,0.27,,642,2.21,8870,0.7,,129,131,0.015,21.2,0.075,1.38,3.8,0.71,15.3,4.46,58.7,22.3,111,20.2,186,37.8
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-61O-5,ArF LA-ICPMS,,1900,780.2491082,460,10.7,,0.26,,1200,3.6,9300,1.14,,315,304,0.044,37.8,0.217,2.46,4.5,0.96,26.6,8.4,107,39.4,197,38.7,360,68
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-61O-6,ArF LA-ICPMS,,1899.8,815.2927775,500,15,,0.09,,861,2.22,8600,1.09,,169,168,0.008,21.1,0.137,1.9,3.9,0.97,20.7,5.72,77.2,27.3,120,25.5,231,46.7
"Haib plutonic rocks, Namibia","Meng et al., 2021",1.24,0.01,HB-61O-7,ArF LA-ICPMS,,1903.1,739.3024857,320,7,,,,943,2.75,10440,1.38,,181,190,0.0052,25.3,0.086,1.82,4.1,0.69,18.5,7,79.6,30.6,143,28.6,261,50.6
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_1,ArF LA-ICPMS,,1887.8,765.3000325,430,9.2,,0.45,,1090,5,11100,2.12,,221,252,0.051,46.8,0.061,1.47,5.5,0.83,21.2,6.88,95,34.2,177,33.7,311,65
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_2,ArF LA-ICPMS,,1891,723.6914142,410,5.9,,0.63,,1670,3.31,10700,1.83,,210,212,0.199,36.9,0.43,5.5,8.9,2.94,43,13.4,150,54,265,53.1,452,94
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_3,ArF LA-ICPMS,,1885.6,796.0944367,440,12.5,,0.38,,2050,3.39,9500,1.39,,321,265,0.027,43.1,0.33,5.6,12.2,2.65,54,16.8,184,72.3,334,61.5,586,114
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_4,ArF LA-ICPMS,,1884.8,816.0054724,320,15.1,,0.27,,1220,4.08,9800,1.93,,231,224,0.012,36.9,0.184,2.38,5.2,1.21,23.4,10.4,115,42.6,203,41.3,348,75.7
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_5,ArF LA-ICPMS,,1902.2,787.538292,500,11.5,,0.49,,1430,3.9,8500,1.53,,181,225,0.016,37.7,0.135,2.91,5.3,2.11,31.7,9.6,120.7,46.4,234,48.9,445,96.5
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_6,ArF LA-ICPMS,,1887,789.296299,500,11.7,,0.38,,1740,5.3,9400,1.91,,278,287,0.015,50.8,0.153,3.08,7.5,1.62,33.6,12.4,150,60.8,279,56.6,475,104.9
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_7,ArF LA-ICPMS,,1911.2,826.9235052,690,16.7,,1.03,,1780,7.6,10000,1.94,,570,423,0.172,62.5,0.34,4.27,9.4,3.09,46,14.9,159,64,300,60.3,518,98
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_8,ArF LA-ICPMS,,1885.3,746.9875858,560,7.6,,0.31,,1820,3.12,11600,1.74,,266,259,0.035,48,0.233,4.3,8.8,2.76,44.1,13.9,170,65.7,302,58.6,532,106
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_9,ArF LA-ICPMS,,1886.4,800.9662674,460,13.1,,0.035,,1400,4.8,11100,0.95,,161,196,0.014,34.5,0.096,2.9,2.9,1.88,27.9,9.1,122,44.8,231,45.4,373,91
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_11,ArF LA-ICPMS,,1890.5,797.7389337,230,12.7,,0.3,,1450,5.1,9700,1.98,,227,246,0.02,40.8,0.199,2.98,6.3,1.74,30.9,10.5,131,50,235,47.2,433,94.9
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_12,ArF LA-ICPMS,,1889.2,729.6241928,240,6.3,,0.26,,1680,4.9,8900,2.23,,278,414,0.0013,36,0.097,2.66,5.6,2.56,38,12.9,150,54.2,287,61.6,510,107
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_13,ArF LA-ICPMS,,1886.4,743.2094911,260,7.3,,0.32,,1130,5.7,8840,1.47,,170,215,0.002,41.2,0.084,1.73,4.8,1.33,24.9,8.1,102,41.4,192,40.7,394,83.1
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_14,ArF LA-ICPMS,,1890,729.6241928,350,6.3,,0.041,,1260,4.3,9800,1.29,,166,217,0.0044,34.5,0.124,2.2,4.6,2.05,23.1,8.6,108,42.4,224,49,449,104
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_15,ArF LA-ICPMS,,1892.1,770.4894512,490,9.7,,0.14,,1510,5,10700,1.23,,217,248,0.013,41.3,0.18,2.5,7.6,1.76,32,11.7,143,54.1,263,51.9,491,99
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_16,ArF LA-ICPMS,,1894.9,769.4692264,470,9.6,,0.18,,1550,3.35,9900,1.16,,252,242,0.116,44,0.255,4.5,7.8,1.94,36.2,12.3,153,59.2,257,49,438,89
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_18,ArF LA-ICPMS,,1890.9,786.6500076,510,11.4,,0.47,,1650,5.5,10900,1.85,,245,278,0.94,48.6,0.48,5,6.9,1.99,39.8,13.3,144,59.3,272,52.7,476,105
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_19,ArF LA-ICPMS,,1888.9,769.4692264,530,9.6,,0.24,,1620,5.3,10700,1.68,,242,273,0.019,47.9,0.183,2.56,7.1,1.59,33.4,10.9,141,55.3,266,55.4,497,107
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_21,ArF LA-ICPMS,,1885.4,767.4026318,530,9.4,,0.09,,2000,4.7,10910,1.72,,330,316,0.0009,46.9,0.285,4.66,8.6,2.23,42.4,14.8,186,65,323,67.1,621,134
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24_22,ArF LA-ICPMS,,1891.8,757.6356288,560,8.5,,0.44,,1990,6.2,9210,2.49,,344,338,0.029,56.7,0.37,4.2,9.6,2.37,50.8,14.2,191,67.5,345,65.7,597,124
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24O-1,ArF LA-ICPMS,,1907.1,739.3024857,400,7,,0.18,,1230,2.76,9800,1.17,,166,187,,31.1,0.165,3.36,6.1,1.13,26.8,9.5,108,43.8,211,46.7,392,83
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24O-3,ArF LA-ICPMS,,1877.9,783.0326275,390,11,,0.33,,1540,3.7,9600,1.59,,245,223,0.012,39.6,0.191,3.9,8.2,2.22,40,12.2,154,53.6,252,54.1,442,88.7
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24O-4,ArF LA-ICPMS,,1904.4,782.1116878,330,10.9,,,,1021,4.6,9600,1.45,,163,207,0.019,37.4,0.092,1.56,3.8,0.84,18.2,7.1,93,33.7,166,34.2,339,67.7
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24O-5,ArF LA-ICPMS,,1902,788.4203566,190,11.6,,0.13,,1060,2.73,9200,1.44,,146,179,0.0077,24.4,0.155,1.82,3.4,1.35,25.4,8.5,100,35.2,175,35.1,305,65.2
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24O-6,ArF LA-ICPMS,,1898.5,777.4016884,293,10.4,,0.4,,1530,3.55,8000,1.09,,234,227,0.27,35.2,0.39,4.3,8.5,2.29,35.4,10.6,126,51.8,240,48.6,486,97
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24O-7,ArF LA-ICPMS,,1913,755.3516732,620,8.3,,0.77,,1130,5.4,9200,2.19,,149,196,0.176,37,0.5,6.4,12.1,6.6,41.5,11.2,114,40.2,176,37.1,311,66
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24O-8,ArF LA-ICPMS,,1896,723.6914142,310,5.9,,0.29,,774,3.6,9200,1.08,,111.5,150,0.0079,25.5,0.08,1.26,3,0.75,13.1,4.57,60.9,24.1,128,26.9,277,57.4
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24O-9,ArF LA-ICPMS,,1889.1,753.0224767,244,8.1,,0.23,,1160,2.06,8560,1.03,,193,185,0.007,27.9,0.151,2.79,5.5,1.73,23.9,9.5,101,39.1,194,41.9,384,79
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-24O-10,ArF LA-ICPMS,,1880.2,780.2491082,388,10.7,,0.22,,1730,3.5,9100,1.38,,259,234,0.019,41.5,0.278,4.47,8.4,2.05,49.9,13.5,165,64.3,298,57.4,505,101
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_1,ArF LA-ICPMS,,1885.9,740.9467059,570,9.5,,0.28,,1270,4.4,10400,2.64,,400,393,0.041,43.6,0.163,2.43,5.5,1.08,26.1,9.1,108.9,42,200,42.6,349,78
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_2,ArF LA-ICPMS,,1898.5,812.0376192,510,19.4,,0.26,,1850,3.8,8600,1.93,,664,505,0.288,42.5,0.602,8.9,9.4,1.73,44.1,13.2,140,61.1,289,56.7,487,97
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_3,ArF LA-ICPMS,,1891.4,770.2351978,350,12.9,,0.29,,1310,4,11500,1.98,,362,359,0.5,55.6,0.72,6.8,6.8,1.48,28.4,9,110,44.4,198,42.9,382,78
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_4,ArF LA-ICPMS,,1896.7,786.6500076,740,15.2,,,,970,1.88,10160,1.19,,200,197,0.113,30.1,0.172,2.19,3.7,0.62,21.1,6.76,81,29.3,151,30.8,258,55.4
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_6,ArF LA-ICPMS,,1886.8,828.0661027,480,22.5,,0.15,,1180,3.32,9600,1.78,,246,300,0.024,27.5,0.11,3.5,5.6,1.37,27.5,7.5,103,41.7,198,40.7,374,81.6
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_7,ArF LA-ICPMS,,1890.7,787.9800956,270,15.4,,0.3,,894,3.08,10500,1,,187,184,0.024,24.8,0.206,2.28,5.8,1.09,19,7.1,87,30.5,141,28.7,251,51.4
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_9,ArF LA-ICPMS,,1884,740.9467059,160,9.5,,0.14,,731,3.1,12000,0.94,,226,262,0.0074,35.8,0.057,1.49,2.6,0.45,14.3,4.71,67.1,24.3,114.2,23.5,224,47.4
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_10,ArF LA-ICPMS,,1890,746.677437,270,10.1,,0.21,,1320,1.78,10400,0.94,,307,252,0.025,30.3,0.201,3.23,8.1,1.33,28.4,10.1,122,44.4,201,38.3,333,71.6
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_13,ArF LA-ICPMS,,1903,804.6971935,250,18.1,,,,863,1.47,10390,0.89,,161,172,0.006,23.6,0.097,1.84,3.5,0.89,19.9,7,77.3,26,133,28,264,51.9
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_14,ArF LA-ICPMS,,1895.6,784.6281028,383,14.9,,0.6,,990,1.98,9260,1.86,,212,294,0.065,26.3,0.092,2.32,3.8,0.7,21.1,6.8,80.1,33.6,159,35.8,324,62.2
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_15,ArF LA-ICPMS,,1894.1,755.6396008,420,11.1,,0.39,,1150,3.9,11200,1.84,,322,330,,38.6,0.096,2.75,6.5,0.94,27.8,8.2,100,38.3,187,36.5,327,66
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_16,ArF LA-ICPMS,,1893.7,785.9796523,320,15.1,,0.5,,610,2.06,10380,0.91,,125,137,0.064,22.9,0.095,1.02,2.29,0.47,14.1,5.12,55.7,20.7,99,19.5,176,38.3
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_18,ArF LA-ICPMS,,1884.2,728.535773,860,8.3,,0.2,,1600,3.31,11800,2.18,,174,240,0.19,25.1,0.115,0.93,3.6,0.73,30.6,12.2,148,58,266,56,498,104
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_19,ArF LA-ICPMS,,1891.6,708.1528957,280,6.6,,0.11,,1192,1.96,10050,0.46,,173,173,0.009,26.1,0.132,3,7,1.67,34.8,9.9,114,42.9,207,40.9,392,79.1
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_20,ArF LA-ICPMS,,1889.7,751.2446493,310,10.6,,0.37,,850,2.54,10100,1.1,,159,170,0.015,21.1,0.053,1.09,3.5,0.87,16.6,5.09,72.4,27.3,131,27.2,234,50.1
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28_21,ArF LA-ICPMS,,1889.5,753.9013554,195,10.9,,0.18,,1740,1.7,11000,1.34,,433,343,0.014,40.3,0.267,6.7,10.5,1.52,49.8,14.3,170,57.3,252,48.3,470,89
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28O-1,ArF LA-ICPMS,,1898.7,751.2446493,460,10.6,,0.26,,1200,3.24,10130,2.06,,202,251,,28.7,0.089,2.1,4.7,0.72,25,8.5,102.4,39.5,185,38.1,382,79.7
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28O-2,ArF LA-ICPMS,,1886.9,797.5345185,260,16.9,,0.1,,853,2.78,10400,1.56,,181,184,0.012,25,0.131,2.05,4.5,0.85,20.1,7.2,83,32.6,155,30.6,268,56.4
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28O-3,ArF LA-ICPMS,,1928.6,791.2452766,1920,15.9,,0.24,,1880,4.7,7900,1.15,,864,519,0.45,64.9,0.46,5.6,11.1,1.58,51,15.6,177,62,300,59.4,504,104
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28O-4,ArF LA-ICPMS,,1890,763.9669844,81,12.1,,0.09,,690,2.15,10100,1.19,,139,141,,21.2,0.064,1.57,3.1,0.73,17,5.74,63.9,23.8,112.6,23.8,196,42.6
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28O-5,ArF LA-ICPMS,,1892.6,775.4662316,186,13.6,,0.09,,880,2.26,9990,0.59,,151,138,0.0046,20.2,0.16,2.17,3.4,1.18,24.1,7.6,87,31.9,142,29,262,51.9
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28O-6,ArF LA-ICPMS,,1894.1,760.70573,172,11.7,,0.33,,740,2.8,9590,1.16,,142,151,0.045,23,0.086,1.25,3.05,0.58,16.8,4.69,74,26.2,125,26.1,237,45.3
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28O-7,ArF LA-ICPMS,,1898.1,727.4365631,321,8.2,,0.25,,980,4.1,9300,1.9,,131,167,0.165,30.7,0.29,3.66,4.54,1.18,23.5,8.2,89.6,33.6,168,38.9,329,74.2
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28O-9,ArF LA-ICPMS,,1885,750.3454684,200,10.5,,,,810,1.9,10100,0.94,,127,139,,21.1,0.099,1.08,3.15,0.5,19.6,6.2,70.3,25,124,25.2,216,45
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28O-10,ArF LA-ICPMS,,1888,793.1647862,180,16.2,,,,749,2.99,11110,1.34,,177,179,,28.4,0.072,1.53,3.03,0.33,19.5,6.32,65.8,24.9,118,24,220,43
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28O-11,ArF LA-ICPMS,,1884,788.6399124,210,15.5,,0.044,,1210,1.83,9860,1.07,,227,185,0.012,26,0.122,3.8,7.2,1.26,32.4,9.4,106,40.2,192,36.4,317,62.5
"Haib volcanic rocks, Namibia","Meng et al., 2021",1.37,0.02,HB-28O-12,ArF LA-ICPMS,,1897,739.9630287,260,9.4,,,,1520,2.2,9180,1.01,,394,298,0.276,35.4,0.484,6.6,11.7,1.75,46.1,12.3,146,55.4,247,48.4,408,79.1
Highland Range Volcanics,"Colombini et al., 2011",2.67,0.3,"HRL21, upper rhyolite lava",SHRIMP-RG,3.1 T,16,726,,5.6,,,68,1303,24,11399,,,701,555,0.02,114,,0.67,1.72,0.41,18,6.9,93,43,227,56,522,106
Highland Range Volcanics,"Colombini et al., 2011",2.67,0.3,"HRL21, upper rhyolite lava",SHRIMP-RG,3.2 C,16,745,,7,,,227,1953,56,14027,,,5531,2512,0.01,260,,1.05,2.23,0.66,21,8.7,115,60,356,100,1017,223
Highland Range Volcanics,"Colombini et al., 2011",2.67,0.3,"HRL21, upper rhyolite lava",SHRIMP-RG,8.1 T,16,749,,7.2,,,95,1711,37,12833,,,971,767,0.08,155,,0.94,2,0.56,22,9.2,120,57,308,79,737,148
Highland Range Volcanics,"Colombini et al., 2011",2.67,0.3,"HRL21, upper rhyolite lava",SHRIMP-RG,8.2 C,16,769,,8.9,,,187,1784,43,13431,,,3941,2171,0.02,223,,1.18,2.33,0.68,22,8.2,112,54,322,88,906,197
Highland Range Volcanics,"Colombini et al., 2011",2.67,0.3,"HRL21, upper rhyolite lava",SHRIMP-RG,9.1 T,16,903,,29.8,,,71,1721,39,11575,,,2207,1081,0.07,174,,1.12,2.6,0.65,26,10.4,130,58,293,70,625,116
Highland Range Volcanics,"Colombini et al., 2011",2.67,0.3,HRL27 High Silica Dacite,SHRIMP-RG,1.1LR,16,862,,30.4,,,112,1103,5,7099,,,53,43,0.02,55,,2.01,4.02,2.45,29,9.3,109,43,188,39,321,57
Highland Range Volcanics,"Colombini et al., 2011",2.67,0.3,HRL27 High Silica Dacite,SHRIMP-RG,1.2 DC,16,855,,28.7,,,89,821,3,7267,,,32,33,0.02,39,,1.82,3.36,2,25,7.3,77,32,146,31,255,49
Highland Range Volcanics,"Colombini et al., 2011",2.67,0.3,HRL27 High Silica Dacite,SHRIMP-RG,10 C,16,859,,29.6,,,57,754,3,7592,,,78,58,0.02,47,,2.08,3.41,1.92,25,7.4,77,30,135,28,231,43
Highland Range Volcanics,"Colombini et al., 2011",2.67,0.3,HRL27 High Silica Dacite,SHRIMP-RG,10.2 C,16,852,,27.9,,,74,914,4,7266,,,52,51,0.02,44,,1.87,3.23,1.8,23,7.7,90,36,168,36,296,59
